"","date","rec_group_adjusted_new","individuals_at_receiver","total_individuals","proportion","avg_depth"
"428",2022-02-20,"North shore",1,16,6.25,0.84496814159292
"429",2022-02-20,"West End",6,16,37.5,3.30923737453458
"430",2022-02-21,"Bayfront area",2,16,12.5,0.899365212555791
"431",2022-02-21,"Carrolls Bay",5,16,31.25,0.937796382138519
"432",2022-02-21,"North shore",1,16,6.25,0.781298342541436
"433",2022-02-21,"West End",8,16,50,2.96770527604469
"434",2022-02-22,"Bayfront area",3,16,18.75,2.03049610141473
"435",2022-02-22,"Carrolls Bay",4,16,25,0.986926174804408
"436",2022-02-22,"North shore",1,16,6.25,0.862621052631579
"437",2022-02-22,"West End",8,16,50,2.8008891798142
"438",2022-02-23,"Bayfront area",2,16,12.5,2.40314218628518
"439",2022-02-23,"Carrolls Bay",4,16,25,1.12635666516719
"440",2022-02-23,"North shore",1,16,6.25,5.73009591078067
"441",2022-02-23,"West End",9,16,56.25,2.69237798305366
"442",2022-02-24,"Bayfront area",3,16,18.75,1.19094919095719
"443",2022-02-24,"Carrolls Bay",4,16,25,0.773215578469637
"444",2022-02-24,"North shore",1,16,6.25,6.35293258426966
"445",2022-02-24,"West End",8,16,50,3.10651889958671
"446",2022-02-25,"Bayfront area",2,16,12.5,0.913087405251853
"447",2022-02-25,"Carrolls Bay",4,16,25,0.736611461185413
"448",2022-02-25,"North shore",1,16,6.25,4.05337554585153
